DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT
13/12/2023,13/12/2023 00:00,"נחום סנה 2, באר שבע",נחום סנה 2,38367-18-47,דירה בבית קומות,4,שלישית,120,1520000,,,2010,,6,11095097670,1,38367-18,FALSE,
13/12/2023,13/12/2023 00:00,"משה חובב 39, באר שבע",משה חובב 39,38306-22-1,בית בודד,3,ראשונה,75,1150000,,,1995,,1,11095085790,1,38306-22,FALSE,
13/12/2023,13/12/2023 00:00,"נחום סנה 14, באר שבע",נחום סנה 14,38367-3-4,דירה בבית קומות,4,ראשונה,98,1520000,,,2014,,6,11095244010,1,38367-3,FALSE,27% ב 9.2 שנים
13/12/2023,13/12/2023 00:00,"הערים התאומות 41, באר שבע",הערים התאומות 41,38366-5-11,דירה בבית קומות,4,שניה,93,1310000,,,2001,,5,11095270740,1,38366-5,FALSE,211% ב 15.9 שנים
13/12/2023,13/12/2023 00:00,,,38491-5-18,דירת גן,8,שמינית,154,1600000,,,2022,,,11095425090,2,38491-5,FALSE,
12/12/2023,12/12/2023 00:00,"מצדה 33, באר שבע",מצדה 33,38075-11-4,דירה בבית קומות,3,שניה,58.9,1040000,,,1970,,4,11095027830,1,38075-11,FALSE,60% ב 11.5 שנים
12/12/2023,12/12/2023 00:00,"מבצע נחשון 51, באר שבע",מבצע נחשון 51,38088-90-3,קוטג' דו משפחתי,5,קרקע וראשונה,150.9,1700000,,,1970,,,11095146720,1,38088-90,FALSE,18% ב 4.9 שנים
12/12/2023,12/12/2023 00:00,"מבצע עובדה 23, באר שבע",מבצע עובדה 23,38094-42-3,דירה בבית קומות,4,ראשונה,80.6,860000,,,1980,,8,11095038900,1,38094-42,FALSE,
12/12/2023,12/12/2023 00:00,"שמעון בר-גיורא 20, באר שבע",שמעון בר-גיורא 20,38078-9-11,דירה בבית קומות,2,שניה,36.5,376000,,,1960,,4,11095143660,1,38078-9,FALSE,
12/12/2023,12/12/2023 00:00,"מבצע עובדה 16, באר שבע",מבצע עובדה 16,38094-25-15,דירה בבית קומות,2,שלישית,48.3,680000,,,1970,,4,11095067970,1,38094-25,FALSE,112% ב 12.7 שנים
12/12/2023,12/12/2023 00:00,"רוזנבלום הרצל 13, באר שבע",רוזנבלום הרצל 13,38145-30-15,דירה בבית קומות,3,שלישית,74.5,1000000,,,1998,,9,11095179300,1,38145-30,FALSE,38% ב 9.9 שנים
12/12/2023,12/12/2023 00:00,"ישראל שוחט 65, באר שבע",ישראל שוחט 65,38194-6-13,קוטג' דו משפחתי,5,"קומה ‎0‏, קומה ‎1‏",118.7,1180000,,,2015,,1,11095254360,1,38194-6,FALSE,
12/12/2023,12/12/2023 00:00,"מצדה 144, באר שבע",מצדה 144,38128-10-22,דירה בבית קומות,3,שישית,66,650000,,,1970,,6,11095036020,1,38128-10,FALSE,19% ב 4.7 שנים
12/12/2023,12/12/2023 00:00,"ציזלינג 2, באר שבע",ציזלינג 2,38131-8-3,דירה בבית קומות,3,ראשונה,69,820000,,,1990,,3,11095237980,1,38131-8,FALSE,38% ב 8.5 שנים
12/12/2023,12/12/2023 00:00,"אבשלום 22, באר שבע",אבשלום 22,38173-63-3,דירה בבית קומות,3.5,ראשונה,67.9,1100000,,,1970,,2,11095038180,1,38173-63,FALSE,107% ב 11.3 שנים
12/12/2023,12/12/2023 00:00,"הר רמון 39, באר שבע",הר רמון 39,38333-18-1,דירה בבית קומות,7,ראשונה,269,2350000,,,1991,,1,11095895880,1,38333-18,FALSE,
11/12/2023,11/12/2023 00:00,,,38009-53-15,דירה בבית קומות,3,שבע עשרה,84,1441000,,,,,,11095074720,2,38009-53,FALSE,
11/12/2023,11/12/2023 00:00,,,38009-51-10,דירה בבית קומות,4,שניה,124,1650000,,,2023,,,11095231410,2,38009-51,FALSE,
11/12/2023,11/12/2023 00:00,"סיני 14, באר שבע",סיני 14,38058-24-30,דירה בבית קומות,4,שניה,84.5,1100000,,,1970,,3,11095308540,1,38058-24,FALSE,40% ב 2.4 שנים
11/12/2023,11/12/2023 00:00,,,38068-1-32,דירה בבית קומות,3,חמש עשרה,80,1285000,,,2022,,,11095272180,2,38068-1,FALSE,
11/12/2023,11/12/2023 00:00,"מצדה 127, באר שבע",מצדה 127,38101-9-34,דירה בבית קומות,3,שניה,63.3,510000,,,1960,,4,11095004160,1,38101-9,TRUE,-5% ב 8 שנים
11/12/2023,11/12/2023 00:00,"אלעזר בן-יאיר 4, באר שבע",אלעזר בן-יאיר 4,38079-33-10,דירה בבית קומות,4,שניה,74,700000,,,1960,,3,11095870500,1,38079-33,TRUE,-4% ב 5 שנים
11/12/2023,11/12/2023 00:00,"לח""י 56, באר שבע","לח""י 56",38100-26-17,דירה בבית קומות,3,ראשונה,58.9,835000,,,1980,,3,11095126560,1,38100-26,FALSE,30% ב 1.7 שנים
11/12/2023,11/12/2023 00:00,"חזני מיכאל 22, באר שבע",חזני מיכאל 22,38106-6-23,דירה בבית קומות,3,שלישית,66.7,695000,,,1992,,3,11095100730,1,38106-6,FALSE,14% ב 5.4 שנים
11/12/2023,11/12/2023 00:00,"דולצ'ין אריה 10, באר שבע",דולצ'ין אריה 10,38130-65-23,דירה בבית קומות,4,שלישית,78,715000,,,1990,,3,11094918750,1,38130-65,FALSE,8% ב 7.2 שנים
11/12/2023,11/12/2023 00:00,"ציזלינג 13, באר שבע",ציזלינג 13,38131-14-12,דירה בבית קומות,4,שלישית,77.4,740000,,,1992,,3,11095053840,1,38131-14,FALSE,46% ב 9.9 שנים
11/12/2023,11/12/2023 00:00,"מקלף מרדכי 57, באר שבע",מקלף מרדכי 57,38353-38-9,דירה בבית קומות,4,רביעית,79,1300000,,,1996,,5,11094969960,1,38353-38,FALSE,21% ב 1.9 שנים
10/12/2023,10/12/2023 00:00,"חומה ומגדל 22, באר שבע",חומה ומגדל 22,38029-54-1,דירה בבית קומות,3,קרקע,77.6,1250000,,,1960,,,11160076680,1,38029-54,FALSE,
10/12/2023,10/12/2023 00:00,,,38009-51-12,דירה בבית קומות,5,שישית,124,1770000,,,2023,,,11095042590,2,38009-51,FALSE,
10/12/2023,10/12/2023 00:00,,,38009-54-4,דירה בבית קומות,5,שתים עשרה,124,1820000,,,2023,,,11095177230,2,38009-54,FALSE,
10/12/2023,10/12/2023 00:00,"מונטיפיורי 17, באר שבע",מונטיפיורי 17,38023-9-2,דירה בבית קומות,3,קרקע,51.2,272000,,,1950,,1,11094879420,1,38023-9,FALSE,
10/12/2023,10/12/2023 00:00,"הנדיב 8, באר שבע",הנדיב 8,38076-75-7,דירה בבית קומות,2,שניה,41.6,530000,,,1960,,3,11095285500,1,38076-75,FALSE,8% ב 6.8 שנים
10/12/2023,10/12/2023 00:00,"בזל 9, באר שבע",בזל 9,38116-33-2,דירה בבית קומות,2,קומה ‎1‏,51.4,1000000,,,1940,,2,11160636390,1,38116-33,FALSE,
10/12/2023,10/12/2023 00:00,"בזל 9, באר שבע",בזל 9,38116-33-3,דירה בבית קומות,2,קומה ‎1‏,34.6,720000,,,1940,,2,11160632700,1,38116-33,FALSE,
10/12/2023,10/12/2023 00:00,,,38098-141-24,דירה בבית קומות,4,שישית,97,1100000,,,,,,11094923970,2,38098-141,FALSE,91% ב 21.8 שנים
10/12/2023,10/12/2023 00:00,"נחום שריג 22, באר שבע",נחום שריג 22,38370-5-63,דירה בבית קומות,5,ראשונה,162,2000000,,,2014,,5,11096037720,1,38370-5,FALSE,
10/12/2023,10/12/2023 00:00,"בודנהיימר 28, באר שבע",בודנהיימר 28,38372-2-27,דירה בבית קומות,4,רביעית,91,1250000,,,2003,,5,11094877800,1,38372-2,FALSE,11% ב 7.6 שנים
08/12/2023,08/12/2023 00:00,"משה שרת 48, באר שבע",משה שרת 48,38124-52-17,דירה בבית קומות,3,ראשונה,63,665000,,,1990,,,11095287120,1,38124-52,FALSE,64% ב 13.3 שנים
07/12/2023,07/12/2023 00:00,,,38020-48-123,דירה בבית קומות,4,עשרים וחמש,108,1665000,,,2019,,,11095122150,2,38020-48,FALSE,
07/12/2023,07/12/2023 00:00,"בני אור 13, באר שבע",בני אור 13,38020-13-3,דירה בבית קומות,3,שניה,66.9,700000,,,1970,,3,11094866010,1,38020-13,FALSE,
07/12/2023,07/12/2023 00:00,,,38009-53-16,דירה בבית קומות,5,שש עשרה,125,1706000,,,,,,11095057620,2,38009-53,FALSE,
07/12/2023,07/12/2023 00:00,"יעלים 52, באר שבע",יעלים 52,38069-134-24,דירה בבית קומות,3,רביעית,55.4,755000,,,1970,,4,11094863670,1,38069-134,FALSE,33% ב 2 שנים
07/12/2023,07/12/2023 00:00,"טבנקין 33, באר שבע",טבנקין 33,38102-33-1,בית בודד,5,ראשונה,333,2350000,,,1977,,1,11094927660,1,38102-33,FALSE,
07/12/2023,07/12/2023 00:00,"יוסף בן-מתתיהו 1, באר שבע",יוסף בן-מתתיהו 1,38093-8-60,דירה בבית קומות,3,שניה,51.5,785000,,,1960,,4,11094739920,1,38093-8,FALSE,
07/12/2023,07/12/2023 00:00,"מבצע אסף 11, באר שבע",מבצע אסף 11,38137-19-16,דירה בבית קומות,4,קומה ‎1‏,89.38,920000,,,1990,,3,11095932240,1,38137-19,FALSE,
07/12/2023,07/12/2023 00:00,,,38421-34-37,דירה בבית קומות,5,רביעית,126,1252000,,,,,,11160453780,2,38421-34,FALSE,
06/12/2023,06/12/2023 00:00,,,38003-196-1,מחסנים,,ראשונה,37,952000,,,,,,11095411050,2,38003-196,FALSE,
06/12/2023,06/12/2023 00:00,,,38001-147-1,ללא תיכנון,,,450,1972000,,,,,,11095627860,2,38001-147,FALSE,
06/12/2023,06/12/2023 00:00,"דוד טוביהו 59, באר שבע",דוד טוביהו 59,38035-43-19,דירה בבית קומות,5,שלישית,173,1515000,,,1995,,6,11094867450,1,38035-43,FALSE,
06/12/2023,06/12/2023 00:00,"התלמוד 62, באר שבע",התלמוד 62,38089-101-22,דירה בבית קומות,3,שניה,61.9,547000,,,1960,,3,11160084240,1,38089-101,FALSE,18% ב 7.5 שנים
06/12/2023,06/12/2023 00:00,"מוריה 42, באר שבע",מוריה 42,38116-19-52,דירה בבית קומות,4,שלישית,79.1,820000,,,1970,,3,11095263990,1,38116-19,FALSE,31% ב 10.7 שנים
06/12/2023,06/12/2023 00:00,"ירושלים 21, באר שבע",ירושלים 21,38115-88-20,דירה בבית קומות,3,שניה,61.3,440000,,,1980,,4,11094751620,1,38115-88,FALSE,
06/12/2023,06/12/2023 00:00,"שלומציון 14, באר שבע",שלומציון 14,38108-98-21,דירה בבית קומות,2,קרקע,41,560000,,,1970,,4,11095036740,1,38108-98,FALSE,211% ב 12.3 שנים
06/12/2023,06/12/2023 00:00,"הנרי נויפלד 24, באר שבע",הנרי נויפלד 24,38161-32-1,קוטג' דו משפחתי,3,ראשונה,87,1380000,,,1980,,1,11094758190,1,38161-32,FALSE,
06/12/2023,06/12/2023 00:00,"תל חי 13, באר שבע",תל חי 13,38261-28-4,דירה בבית קומות,4,ראשונה,77.5,1087000,,,1960,,1,11094710850,1,38261-28,FALSE,9% ב 1.8 שנים
06/12/2023,06/12/2023 00:00,"ישראל גלילי 32, באר שבע",ישראל גלילי 32,38368-11-4,דירה בבית קומות,3,שניה,77,1230000,,,2005,,5,11094745770,1,38368-11,FALSE,201% ב 20 שנים
06/12/2023,06/12/2023 00:00,,,38421-34-50,דירה בבית קומות,4,ראשונה,126,1141000,,,,,,11160496170,2,38421-34,FALSE,
05/12/2023,05/12/2023 00:00,"השלום 53, באר שבע",השלום 53,38029-104-1,דירה בבית קומות,3,ראשונה,75,600000,,,1970,,,11095821720,1,38029-104,FALSE,
05/12/2023,05/12/2023 00:00,,,38009-50-37,דירה בבית קומות,5,שלישית,124,1760000,,,2023,,,11094978870,2,38009-50,FALSE,
05/12/2023,05/12/2023 00:00,"מצדה 41, באר שבע",מצדה 41,38075-12-13,דירה בבית קומות,3,שניה,58.9,750000,,,1960,,4,11094648480,1,38075-12,FALSE,273% ב 16.5 שנים
05/12/2023,05/12/2023 00:00,"שלומציון 19, באר שבע",שלומציון 19,38108-101-1,דירה בבית קומות,2,קרקע,49,630000,,,1990,,3,11094697530,1,38108-101,FALSE,26% ב 5.1 שנים
05/12/2023,05/12/2023 00:00,"דוד טוביהו 121, באר שבע",דוד טוביהו 121,38110-5-248,דירה בבית קומות,7,עשרים ושמונה,365,3550000,,,2019,,30,11095220880,1,38110-5,FALSE,
05/12/2023,05/12/2023 00:00,"שער הגיא 7, באר שבע",שער הגיא 7,38111-95-27,דירה בבית קומות,3,שביעית,61.5,830000,,,1992,,8,11094646410,1,38111-95,FALSE,215% ב 23.5 שנים
05/12/2023,05/12/2023 00:00,"שלמה סקולסקי 7, באר שבע",שלמה סקולסקי 7,38191-15-17,דירה בבית קומות,3,שניה,74,600000,,,2000,,6,11160392310,1,38191-15,FALSE,293% ב 16.3 שנים
05/12/2023,05/12/2023 00:00,"יוהנה ז'בוטינסקי 60, באר שבע",יוהנה ז'בוטינסקי 60,38191-6-89,דירה בבית קומות,2,שניה,56,600000,,,1999,,17,11160482760,1,38191-6,TRUE,-27% ב 7.6 שנים
04/12/2023,04/12/2023 00:00,"גלעד 14, באר שבע",גלעד 14,38073-38-7,דירה בבית קומות,2,קרקע,22.3,480000,,,1970,,1,11094610500,1,38073-38,FALSE,6% ב 3.3 שנים
04/12/2023,04/12/2023 00:00,"גיורא יוספטל 1, באר שבע",גיורא יוספטל 1,38082-34-49,דירה בבית קומות,3,שלישית,52.6,590000,,,1960,,3,11160205920,1,38082-34,FALSE,0% ב 2.6 שנים
04/12/2023,04/12/2023 00:00,"מבצע נחשון 45, באר שבע",מבצע נחשון 45,38088-99-2,קוטג' דו משפחתי,6,קרקע ראשונה,137.2,1720000,,,1970,,,11094736860,1,38088-99,FALSE,
04/12/2023,04/12/2023 00:00,"יהודה בורלא 45, באר שבע",יהודה בורלא 45,38081-3-59,דירה בבית קומות,3,שלישית,63.2,570000,,,1970,,3,11095842420,1,38081-3,FALSE,235% ב 14.1 שנים
04/12/2023,04/12/2023 00:00,"שרת משה 2, באר שבע",שרת משה 2,38105-19-17,דירה בבית קומות,5,ראשונה,127.1,1500000,,,1981,,4,11094723540,1,38105-19,FALSE,
04/12/2023,04/12/2023 00:00,"מבצע קלשון 1, באר שבע",מבצע קלשון 1,38108-116-16,דירה בבית קומות,3,רביעית,62.9,760000,,,1980,,4,11094603930,1,38108-116,FALSE,16% ב 4.9 שנים
04/12/2023,04/12/2023 00:00,"סוסיה 8, באר שבע",סוסיה 8,38111-201-128,דירה בבית קומות,4,קומה ‎8‏,93,1420000,,,2005,,10,11094609870,1,38111-201,FALSE,24% ב 5.6 שנים
04/12/2023,04/12/2023 00:00,"אליעזר שמאלי 13, באר שבע",אליעזר שמאלי 13,38189-20-57,דירה בבית קומות,5,תשיעית,121,2280000,,,2000,,9,11095109640,1,38189-20,FALSE,29% ב 2.5 שנים
04/12/2023,04/12/2023 00:00,"חיים בר-לב 10, באר שבע",חיים בר-לב 10,38352-27-3,דירה בבית קומות,3.5,ראשונה,72,1275000,,,1999,,8,11095034400,1,38352-27,FALSE,29% ב 7.9 שנים
04/12/2023,04/12/2023 00:00,,,38491-8-7,דירה בבית קומות,4,שניה,111,1600000,,,2023,,,11094753780,2,38491-8,FALSE,
03/12/2023,03/12/2023 00:00,"יפה לייב 17, באר שבע",יפה לייב 17,38018-18-4,דירה בבית קומות,3,ראשונה,63.7,700000,,,1960,,3,11094857820,1,38018-18,FALSE,12% ב 5.7 שנים
03/12/2023,03/12/2023 00:00,,,38012-2-1,משרד,,ראשונה,95,230000,,,,,,11095019820,2,38012-2,FALSE,
03/12/2023,03/12/2023 00:00,"דוד טוביהו 59, באר שבע",דוד טוביהו 59,38035-43-18,דירה בבית קומות,5,ראשונה,173,1420000,,,1995,,6,11094612120,1,38035-43,FALSE,
03/12/2023,03/12/2023 00:00,,,38009-50-38,דירה בבית קומות,5,ראשונה,124,1850000,,,2023,,,11094843600,2,38009-50,FALSE,
03/12/2023,03/12/2023 00:00,"הנרי קנדל 5, באר שבע",הנרי קנדל 5,38035-61-73,דירה בבית קומות,4,חמישית,95,1500000,,,2005,,14,11094588990,1,38035-61,FALSE,122% ב 15.4 שנים
03/12/2023,03/12/2023 00:00,"רוטנברג 5, באר שבע",רוטנברג 5,38027-12-9,דירה בבית קומות,3,קרקע,50.3,500000,,,1960,,3,11160236430,1,38027-12,FALSE,136% ב 23.4 שנים
03/12/2023,03/12/2023 00:00,"מרבד הקסמים 3, באר שבע",מרבד הקסמים 3,38098-14-4,דירה בבית קומות,3,ראשונה,45.8,620000,,,1970,,2,11094727950,1,38098-14,FALSE,67% ב 11.2 שנים
03/12/2023,03/12/2023 00:00,"בודנהיימר 8, באר שבע",בודנהיימר 8,38372-5-58,דירה בבית קומות,5,קומה ‎2‏,130,1780000,,,2016,,6,11095202340,1,38372-5,FALSE,
01/12/2023,01/12/2023 00:00,,,38009-53-17,דירה בבית קומות,5,רביעית,128,1706000,,,,,,11094998940,2,38009-53,FALSE,
01/12/2023,01/12/2023 00:00,"רוזנבלום הרצל 13, באר שבע",רוזנבלום הרצל 13,38145-30-37,דירה בבית קומות,4,שמינית,84,1200000,,,1998,,9,11094579360,1,38145-30,FALSE,31% ב 4.6 שנים
30/11/2023,30/11/2023 00:00,,,38004-56-12,חנות,,קרקע,31,460000,,,,,,11095797150,2,38004-56,FALSE,70% ב 4.2 שנים
30/11/2023,30/11/2023 00:00,,,38004-56-33,חנות,,קרקע,,240000,,,,,,11095795710,2,38004-56,FALSE,84% ב 4.2 שנים
30/11/2023,30/11/2023 00:00,"חנה סנש 14, באר שבע",חנה סנש 14,38027-26-9,דירה בבית קומות,2,קרקע,38.2,249000,,,1960,,3,11094760530,1,38027-26,FALSE,
30/11/2023,30/11/2023 00:00,,,38009-53-18,דירה בבית קומות,5,עשירית,125,1746000,,,,,,11094990750,2,38009-53,FALSE,
30/11/2023,30/11/2023 00:00,,,38009-50-39,דירה בבית קומות,4,שניה,117,1645000,,,2023,,,11094663330,2,38009-50,FALSE,
30/11/2023,30/11/2023 00:00,"המשחררים 77, באר שבע",המשחררים 77,38057-13-14,דירה בבית קומות,4,שניה,83.1,935000,,,1970,,3,11094564600,1,38057-13,FALSE,6% ב 2 שנים
30/11/2023,30/11/2023 00:00,,,38068-1-33,דירה בבית קומות,3,שביעית,80,1285000,,,2022,,,11094761250,2,38068-1,FALSE,
30/11/2023,30/11/2023 00:00,"סנהדרין 12, באר שבע",סנהדרין 12,38082-70-44,דירה בבית קומות,3,שלישית,51,660000,,,1960,,4,11094586110,1,38082-70,FALSE,10% ב 6.8 שנים
30/11/2023,30/11/2023 00:00,"שיפר יצחק 4, באר שבע",שיפר יצחק 4,38091-25-35,דירה בבית קומות,3,שניה,51.3,765000,,,1960,,4,11095218720,1,38091-25,FALSE,10% ב 0.3 שנים
30/11/2023,30/11/2023 00:00,"סנהדרין 14, באר שבע",סנהדרין 14,38082-70-21,דירה בבית קומות,3,שניה,51,670000,,,1960,,4,11094452460,1,38082-70,FALSE,185% ב 14 שנים
30/11/2023,30/11/2023 00:00,"אלכסנדר ינאי 17, באר שבע",אלכסנדר ינאי 17,38072-39-39,דירה בבית קומות,2,רביעית,40.5,785000,,,2013,,13,11094677370,1,38072-39,FALSE,6% ב 6.3 שנים
30/11/2023,30/11/2023 00:00,"הרא""ש 15, באר שבע","הרא""ש 15",38103-43-49,דירה בבית קומות,2,שניה,43.7,550000,,,1970,,4,11095460910,1,38103-43,FALSE,2% ב 3 שנים
30/11/2023,30/11/2023 00:00,"סנהדרין 101, באר שבע",סנהדרין 101,38080-61-2,דירה בבית קומות,3,ראשונה,47.9,615000,,,1970,,4,11094724980,1,38080-61,FALSE,6% ב 1.9 שנים
30/11/2023,30/11/2023 00:00,"ירושלים 50, באר שבע",ירושלים 50,38112-11-40,דירה בבית קומות,3,רביעית,65.5,825000,,,1980,,8,11094425730,1,38112-11,FALSE,
30/11/2023,30/11/2023 00:00,"מוריה 20, באר שבע",מוריה 20,38116-15-6,דירה בבית קומות,4,שניה,82.9,860000,,,1970,,3,11094432300,1,38116-15,FALSE,188% ב 21.2 שנים
30/11/2023,30/11/2023 00:00,"החיד""א 91, באר שבע","החיד""א 91",38118-26-34,דירה בבית קומות,3,ראשונה,61.6,590000,,,1980,,4,11095602570,1,38118-26,FALSE,43% ב 10.6 שנים
30/11/2023,30/11/2023 00:00,"זאב טיומקין 17, באר שבע",זאב טיומקין 17,38145-10-23,דירה בבית קומות,4,שניה,87.3,1080000,,,1998,,4,11094587550,1,38145-10,FALSE,
30/11/2023,30/11/2023 00:00,"חטיבה שמונה 23, באר שבע",חטיבה שמונה 23,38138-64-7,דירה בבית קומות,4,שניה,87.6,1330000,,,2000,,18,11094935670,1,38138-64,FALSE,44% ב 9.1 שנים
30/11/2023,30/11/2023 00:00,"ניב דוד 21, באר שבע",ניב דוד 21,38189-57-17,דירה בבית קומות,4,חמישית,95,1355000,,,2000,,9,11094761970,1,38189-57,FALSE,30% ב 7.9 שנים
30/11/2023,30/11/2023 00:00,"דוד גויטיין 22, באר שבע",דוד גויטיין 22,38132-140-3,קוטג' דו משפחתי,5,ראשונה,162,2400000,,,1990,,1,11094790950,1,38132-140,FALSE,
30/11/2023,30/11/2023 00:00,"אליהו בן-חור 3, באר שבע",אליהו בן-חור 3,38352-7-8,דירה בבית קומות,3,שניה,70.9,850000,,,1996,,4,11094546780,1,38352-7,FALSE,16% ב 8.6 שנים
30/11/2023,30/11/2023 00:00,"פרופ' יהודה ליאו פיקרד 28, באר שבע",פרופ' יהודה ליאו פיקרד 28,38375-6-37,דירה בבית קומות,4,שניה,88,1630000,,,2000,,5,11094992190,1,38375-6,FALSE,63% ב 9.5 שנים
30/11/2023,30/11/2023 00:00,"גדעון האוזנר 22, באר שבע",גדעון האוזנר 22,38365-12-37,דירה בבית קומות,5,ראשונה,114,1645000,,,2014,,5,11094560100,1,38365-12,FALSE,58% ב 9.8 שנים
30/11/2023,30/11/2023 00:00,,,38421-34-67,דירה בבית קומות,3,ראשונה,91,1600000,,,,,,11094701940,2,38421-34,FALSE,
30/11/2023,30/11/2023 00:00,,,38490-52-25,דירה בבית קומות,4,שניה,127,1650000,,,2022,,,11094520680,2,38490-52,FALSE,
29/11/2023,29/11/2023 00:00,,,38009-53-19,דירה בבית קומות,5,שביעית,128,1686000,,,,,,11094801300,2,38009-53,FALSE,
29/11/2023,29/11/2023 00:00,"הנרי קנדל 10, באר שבע",הנרי קנדל 10,38035-60-45,דירה בבית קומות,5,שלישית,144,1400000,,,2000,,17,11095610760,1,38035-60,FALSE,
29/11/2023,29/11/2023 00:00,,,38024-72-1,דירה בבית קומות,2,שניה,29,500000,,,,,,11095135470,2,38024-72,FALSE,
29/11/2023,29/11/2023 00:00,"חזני מיכאל 18, באר שבע",חזני מיכאל 18,38106-6-6,דירה בבית קומות,3,שניה,66.7,805000,,,1992,,3,11094426450,1,38106-6,FALSE,12% ב 6.1 שנים
29/11/2023,29/11/2023 00:00,"יצחק רגר 108, באר שבע",יצחק רגר 108,38093-65-16,דירה בבית קומות,4,רביעית,75.5,745000,,,1970,,4,11095573500,1,38093-65,FALSE,
29/11/2023,29/11/2023 00:00,"אביגדור המאירי 26, באר שבע",אביגדור המאירי 26,38190-14-42,דירה בבית קומות,4,חמישית,105.58,1080000,,,1996,,6,11094363360,1,38190-14,FALSE,
29/11/2023,29/11/2023 00:00,"ציזלינג 4, באר שבע",ציזלינג 4,38131-8-14,דירה בבית קומות,4,שניה,82,890000,,,1990,,3,11094557220,1,38131-8,FALSE,14% ב 4.6 שנים
29/11/2023,29/11/2023 00:00,"שרגא אברמסון 8, באר שבע",שרגא אברמסון 8,38374-8-1,דירה בבית קומות,4,קרקע,101,1230000,,,2000,,5,11094549030,1,38374-8,FALSE,
29/11/2023,29/11/2023 00:00,,,38491-5-21,דירה בבית קומות,4,ראשונה,106,1570000,,,2022,,,11094845130,2,38491-5,FALSE,
28/11/2023,28/11/2023 00:00,,,38009-51-13,דירה בבית קומות,4,ראשונה,116,1610000,,,2023,,,11094591330,2,38009-51,FALSE,
28/11/2023,28/11/2023 00:00,"פרופ' פאול אהרליך 16, באר שבע",פרופ' פאול אהרליך 16,38161-95-2,דירה בבית קומות,6,ראשונה,173,1850000,,,1991,,1,11095622010,1,38161-95,FALSE,
28/11/2023,28/11/2023 00:00,"דוד אלעזר 25, באר שבע",דוד אלעזר 25,38353-3-49,דירה בבית קומות,4,רביעית,81,1150000,,,2000,,10,11094395940,1,38353-3,FALSE,166% ב 24.9 שנים
28/11/2023,28/11/2023 00:00,"הרב שלמה טנא 20, באר שבע",הרב שלמה טנא 20,38389-19-165,דירה בבית קומות,4,שתים עשרה,93.7,1260000,,,2005,,16,11095875000,1,38389-19,FALSE,20% ב 4.5 שנים
28/11/2023,28/11/2023 00:00,"שולמית 5, באר שבע",שולמית 5,38387-8-24,דירה בבית קומות,4,שישית,80,329000,,,1996,,8,11094756750,1,38387-8,FALSE,
28/11/2023,28/11/2023 00:00,,,38490-52-26,דירה בבית קומות,4,שלישית,107,1615000,,,2022,,,11094493950,2,38490-52,FALSE,
27/11/2023,27/11/2023 00:00,"השלום 22, באר שבע",השלום 22,38030-19-40,דירה בבית קומות,2,קרקע,46,700000,,,1970,,3,11160090810,1,38030-19,FALSE,11% ב 5.9 שנים
27/11/2023,27/11/2023 00:00,"המשחררים 60, באר שבע",המשחררים 60,38057-30-13,דירה בבית קומות,5,שלישית,107,1000000,,,1970,,3,11095270020,1,38057-30,FALSE,33% ב 8 שנים
27/11/2023,27/11/2023 00:00,"חוגלה 18, באר שבע",חוגלה 18,38098-22-27,דירה בבית קומות,3,ראשונה,81,900000,,,1970,,2,11094303870,1,38098-22,FALSE,8% ב 4.3 שנים
27/11/2023,27/11/2023 00:00,"זאב טיומקין 13, באר שבע",זאב טיומקין 13,38145-10-52,דירה בבית קומות,5,ראשונה,110.8,635000,,,1998,,4,11094770160,1,38145-10,FALSE,19% ב 1.8 שנים
27/11/2023,27/11/2023 00:00,"אשר ברש 6, באר שבע",אשר ברש 6,38138-66-60,דירה בבית קומות,3,ראשונה,63.6,838000,,,1990,,6,11095750980,1,38138-66,FALSE,
27/11/2023,27/11/2023 00:00,"מבצע עובדה 104, באר שבע",מבצע עובדה 104,38106-80-3,דירה בבית קומות,4,שניה,79.7,945000,,,1970,,9,11094268410,1,38106-80,FALSE,11% ב 1.3 שנים
27/11/2023,27/11/2023 00:00,"בר-ניסן 15, באר שבע",בר-ניסן 15,38187-59-82,דירה בבית קומות,4,ראשונה,87.7,1340000,,,2002,,8,11094767100,1,38187-59,FALSE,191% ב 19.2 שנים
27/11/2023,27/11/2023 00:00,"ישראל גלילי 33, באר שבע",ישראל גלילי 33,38368-2-13,דירה בבית קומות,4,שניה,97,1290000,,,2003,,5,11094251940,1,38368-2,FALSE,5% ב 1.7 שנים
27/11/2023,27/11/2023 00:00,,,38491-8-8,דירה בבית קומות,5,שישית,131,1830000,,,2023,,,11094573510,2,38491-8,FALSE,
26/11/2023,26/11/2023 00:00,"דוד וולפסון 34, באר שבע",דוד וולפסון 34,38018-26-25,דירה בבית קומות,4,שישית,84.78,810000,,,1991,,8,11094228090,1,38018-26,TRUE,-3% ב 6.1 שנים
